144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Search-Well || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Raj Migration and Consultancy Centre || Industry (ANZSIC4) code: 9539 || Industry (ANZSIC4) description: Other Personal Services n.e.c. || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Faith Legal || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: International Organisation For Migration || Industry (ANZSIC4) code: 9539 || Industry (ANZSIC4) description: Other Personal Services n.e.c. || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Fit 2B Australia || Industry (ANZSIC4) code: 8211 || Industry (ANZSIC4) description: Sports and Physical Recreation Instruction || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Fetching Events & Communication || Industry (ANZSIC4) code: 7299 || Industry (ANZSIC4) description: Other Administrative Services n.e.c. || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Fontis Pty Ltd || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Cornelius Family Law || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: George James Lawyers || Industry (ANZSIC4) code: 6931 || Industry (ANZSIC4) description: Legal Services || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 
144.9602242 -37.81467981 --> Census year: 2018 || Block ID: 53 || Property ID: 108072 || Base property ID: 108072 || CLUE small area: Melbourne (CBD) || Trading name: Vacant || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9602242 || y coordinate: -37.81467981 || Location: (-37.81467981, 144.9602242) || 

144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: Tim & Terry Oyster Supply || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: McLaughlin Consolidated Fishermen || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
144.9193412 -37.79963866 --> Census year: 2018 || Block ID: 502 || Property ID: 105221 || Base property ID: 105221 || CLUE small area: West Melbourne (Industrial) || Trading name: Jack Miriklis || Industry (ANZSIC4) code: 3604 || Industry (ANZSIC4) description: Fish and Seafood Wholesaling || x coordinate: 144.9193412 || y coordinate: -37.79963866 || Location: (-37.79963866, 144.9193412) || 
